ensembl_id	symbol	beta	beta_se	beta_p	beta_q	ame	ame_se	ame_p
ENSG00000130513.6	GDF15	1.10561378886182	0.132044864766065	5.61618919208543e-17	4.43590970275383e-13	130.583609061713	50.6253518698432	0.00989688466692921
ENSG00000134333.13	LDHA	-0.240476998370776	0.0304173123878502	2.65950714911967e-15	1.05029702204018e-11	-2591.79546255459	447.560907705753	6.9996280682404e-09
ENSG00000171314.8	PGAM1	-0.202542397761995	0.0257940125200191	4.08466709855437e-15	1.07541571905086e-11	-1059.04981443334	173.126390054471	9.52301529095808e-10
ENSG00000272579.1	RP11-101E13.5	-0.581384178292493	0.0793766503925404	2.40018616557814e-13	4.73942772231916e-10	-9.34938074170764	1.38633297091413	1.54121905003157e-11
ENSG00000169813.16	HNRNPF	-0.20398679855744	0.0287929397049612	1.39434671006964e-12	2.20263096154853e-09	-664.77148092798	100.350429996442	3.48424168298758e-11
ENSG00000196419.12	XRCC6	-0.182891076969738	0.0262643672524093	3.31996953988665e-12	4.37042645559507e-09	-631.518524445153	96.4908311456848	5.95530319940268e-11
ENSG00000092199.17	HNRNPC	-0.160888234212655	0.0233272304439976	5.31069621901273e-12	5.4513005525306e-09	-1132.39013251327	173.888075396967	7.40687766939294e-11
ENSG00000114686.8	MRPL3	-0.218759159030508	0.0317434115657099	5.52139918031703e-12	5.4513005525306e-09	-281.343643318945	46.2684421057145	1.19673068869865e-09
ENSG00000213585.10	VDAC1	-0.198772871833943	0.0294730817401586	1.53853987343727e-11	1.2495095494588e-08	-369.63753137857	78.2338563363024	2.30367918274141e-06
ENSG00000108561.8	C1QBP	-0.163361243479461	0.0242369477367342	1.58197134236559e-11	1.2495095494588e-08	-1025.39832185736	166.519605787055	7.37515389252233e-10
ENSG00000147642.16	SYBU	-0.857186912949501	0.127694406992112	1.90925775138549e-11	1.37092231287432e-08	-53.3139358044075	25.1906902474641	0.034309591175308
