ensembl_id	symbol	term	chi_sq	df	anova_p	anova_q
ENSG00000267586.6	LINC00907	is_aneuploid:lineage	97.7896699960975	5	1.54438346945755e-19	1.66552073840169e-15
ENSG00000261371.5	PECAM1	is_aneuploid:lineage	58.3063757334073	5	2.71939464943802e-11	1.46634831118998e-07
ENSG00000046889.18	PREX2	is_aneuploid:lineage	57.1818781406182	5	4.63872707820233e-11	1.66752543465238e-07
ENSG00000156265.15	MAP3K7CL	is_aneuploid:lineage	53.4639404300488	5	2.70082873128648e-10	7.28168610935846e-07
ENSG00000198535.5	C2CD4A	is_aneuploid:lineage	52.818782026117	5	3.66415917442531e-10	7.90313185099512e-07
ENSG00000169548.3	ZNF280A	is_aneuploid:lineage	48.9172610454143	5	2.30736445650414e-09	3.62820361817984e-06
ENSG00000156531.16	PHF6	is_aneuploid:lineage	48.8738146348798	5	2.35502104163781e-09	3.62820361817984e-06
ENSG00000275499.2	ZNF280A	is_aneuploid:lineage	48.4295463378895	5	2.90239779009516e-09	3.91256754401856e-06
ENSG00000276495.4	APBA2	is_aneuploid:lineage	47.0690418241977	5	5.50027796095602e-09	5.98784993640262e-06
ENSG00000233560.2	KRT8P39	is_aneuploid:lineage	46.9787175694947	5	5.7385084804231e-09	5.98784993640262e-06
ENSG00000229222.1	KRT18P4	is_aneuploid:lineage	46.8459187105383	5	6.10757336775747e-09	5.98784993640262e-06
ENSG00000087589.16	CASS4	is_aneuploid:lineage	46.5094872266013	5	7.151961861214e-09	6.07239081742002e-06
ENSG00000110436.11	SLC1A2	is_aneuploid:lineage	46.4599935261878	5	7.31995088200562e-09	6.07239081742002e-06
ENSG00000101280.7	ANGPT4	is_aneuploid:lineage	46.1300411554038	5	8.54494904607751e-09	6.19821280345183e-06
ENSG00000167995.15	BEST1	is_aneuploid:lineage	46.1111169576321	5	8.62110315391564e-09	6.19821280345183e-06
ENSG00000167136.6	ENDOG	is_aneuploid:lineage	43.0682796084971	5	3.57917864276447e-08	2.21342393522351e-05
ENSG00000163814.7	CDCP1	is_aneuploid:lineage	43.0595105038599	5	3.59385804361763e-08	2.21342393522351e-05
ENSG00000243830.2	RP11-113C12.2	is_aneuploid:lineage	43.0004003817511	5	3.69438546381256e-08	2.21342393522351e-05
ENSG00000138792.9	ENPEP	is_aneuploid:lineage	42.6151715373362	5	4.42179224009604e-08	2.50980299102799e-05
ENSG00000103485.17	QPRT	is_aneuploid:lineage	41.3313978414209	5	8.04203029967696e-08	4.33641271998051e-05
ENSG00000188958.9	UTS2B	is_aneuploid:lineage	41.1339001936357	5	8.81614925662516e-08	4.52745914166095e-05
ENSG00000170325.14	PRDM10	is_aneuploid:lineage	40.5855140531191	5	1.13771398163647e-07	5.2240392795689e-05
ENSG00000188021.8	UBQLN2	is_aneuploid:lineage	40.5043145708967	5	1.18147181818631e-07	5.2240392795689e-05
ENSG00000153303.16	FRMD1	is_aneuploid:lineage	40.4493671567484	5	1.21202970564893e-07	5.2240392795689e-05
ENSG00000277215.1	SPANXA2-OT1	is_aneuploid:lineage	40.3454714685534	5	1.27197709734946e-07	5.2240392795689e-05
ENSG00000197376.2	OR8S1	is_aneuploid:lineage	40.2342708575254	5	1.33941486000814e-07	5.2240392795689e-05
ENSG00000259904.1	ACTG1P15	is_aneuploid:lineage	40.2233752993319	5	1.34621107026317e-07	5.2240392795689e-05
ENSG00000164181.13	ELOVL7	is_aneuploid:lineage	40.2072331158931	5	1.35634310754577e-07	5.2240392795689e-05
ENSG00000092068.18	SLC7A8	is_aneuploid:lineage	39.928852474977	5	1.54352282588309e-07	5.73997444230795e-05
ENSG00000068976.13	PYGM	is_aneuploid:lineage	39.6949821147578	5	1.7205118076498e-07	6.18488035943608e-05
ENSG00000225093.1	RPL3P7	is_aneuploid:lineage	39.4634510787681	5	1.91562531047642e-07	6.59452803444172e-05
ENSG00000139263.11	LRIG3	is_aneuploid:lineage	39.4176409557894	5	1.95676556415184e-07	6.59452803444172e-05
ENSG00000105854.12	PON2	is_aneuploid:lineage	39.0085004177508	5	2.36549901764074e-07	7.73043143294582e-05
ENSG00000104611.11	SH2D4A	is_aneuploid:lineage	38.7449856264406	5	2.67269630918576e-07	8.47745703064974e-05
ENSG00000174945.13	AMZ1	is_aneuploid:lineage	38.4963288754468	5	2.99889798261486e-07	9.24035269214283e-05
ENSG00000170561.12	IRX2	is_aneuploid:lineage	38.4029233432894	5	3.13142449103466e-07	9.38068047811169e-05
ENSG00000107485.15	GATA3	is_aneuploid:lineage	38.0253980337923	5	3.72917028856501e-07	0.000108693955023692
ENSG00000221995.5	TIAF1	is_aneuploid:lineage	37.1190390883481	5	5.6692152617379e-07	0.000160891926260903
ENSG00000100558.8	PLEK2	is_aneuploid:lineage	36.8270936232511	5	6.48700791932962e-07	0.000179380289826367
ENSG00000171428.13	NAT1	is_aneuploid:lineage	36.2321957837397	5	8.53453008390866e-07	0.000230098889433459
ENSG00000151846.8	PABPC3	is_aneuploid:lineage	36.1236401421844	5	8.97226993487397e-07	0.000236000745369652
ENSG00000109113.17	RAB34	is_aneuploid:lineage	35.9247419379181	5	9.8330791347609e-07	0.000252484745456718
